icode,brand,name,discount,old_price,price,qty,scraped_at
15298421,永信藥品,晶亮葉黃膠囊3瓶組(共360粒),71折,6000,4311,79,2026-09-26 10:55:01
13181394,白蘭,買2送1★4X洗衣球162顆,44折,1557,699,265,2026-09-26 10:55:01
15543245,MSI 微星,Ultra 7 355輕巧AI,84折,41339,34900,20,2026-09-26 10:55:01
14583761,POCO,C85 6.9吋 4G(8G/256G),85折,5499,4699,34,2026-09-26 10:55:01
14376138,CeraVe,修護霜340g-2入,58折,1673,978,278,2026-09-26 10:55:01
14028360,義美,義美好食瓶-香脆脆花生4罐,79折,620,490,595,2026-09-26 10:55:01
15425590,蘭蔻,零粉感超持久粉底,46折,4749,2200,129,2026-09-26 10:55:01
12092813,雪之上,全效合一水凝霜3入,55折,4740,2620,83,2026-09-26 10:55:01
10423370,特福,波爾多不沾鍋4鍋6件組,3折,4280,1299,213,2026-09-26 10:55:01
12039442,BRITA,去水垢濾芯6入-德國製,5折,2500,1269,21,2026-09-26 10:55:01
15515173,SHIH CING,浴室止滑劑,59折,999,599,127,2026-09-26 10:55:01
7851422,MarCella 瑪榭,7件組★MIT無縫抗菌內褲-薄感中低腰,75折,1318,999,482,2026-09-26 10:55:01
14535762,H2O,小香風細條紋針織上衣外套(#5660002 #5663003 網路獨家、長袖上衣、針織衫),27折,3580,990,174,2026-09-26 10:55:01
15620294,金瑞利純金金塊多選(金重0.27錢±1厘),金瑞利純金金塊多選(金重0.27錢±1厘),93折,5788,5388,80,2026-09-26 10:55:01
15018766,NEW BALANCE,204L復古鞋_附雙鞋帶_多款任選,65折,3680,2399,292,2026-09-26 10:55:01
14633157,金豐盛,經典嫩雞胸12包,74折,808,599,582,2026-09-26 10:55:01
8310067,S.Pellegrino 聖沛黎洛,天然氣泡礦泉水玻璃瓶裝250mlx24入/箱,58折,1200,699,408,2026-09-26 10:55:01
14175115,法國皇家,幼貓飼料10kg,73折,3400,2499,481,2026-09-26 10:55:01
14636767,ADAM 亞果元素,VIONTA Q 10000mAh輕巧自帶線行動電源,57折,1190,690,275,2026-09-26 10:55:01
8978268,統一,AB纖菌素益生菌菌粉*8入,66折,7920,5298,80,2026-09-26 10:55:01
15495865,東芝,55型Google TV,47折,24900,11900,31,2026-09-26 10:55:01
12063456,永信藥品,南瓜籽軟膠囊3瓶組(共300粒),71折,4200,2999,102,2026-09-26 10:55:01
13224566,m2 美度,超能膠原飲/晚安飲 任選1箱(100包),45折,17250,7780,493,2026-09-26 10:55:01
9621690,Oral-B 歐樂B,PRO1 3D電動牙刷+兩年份刷頭,45折,3290,1490,266,2026-09-26 10:55:01
12984109,ARIEL,抗菌除臭洗衣補充8包,78折,1099,859,446,2026-09-26 10:55:01
14069610,樂高,梅利號海賊船75639,63折,4699,2999,71,2026-09-26 10:55:01
15609162,麥當勞,Oreo冰炫風2杯,5折,118,59,9,2026-09-26 10:55:01
14440139,追覓科技,L30s Pro Ultra雙仿生全能掃地機,44折,33290,14980,23,2026-09-26 10:55:01
12700967,BRAUN 百靈,智能變速 5系PRO電鬍刀★充電座組 52-B7200cc,59折,7188,4288,35,2026-09-26 10:55:01
9509497,滿意寶寶,瞬潔乾爽輕巧褲L-XXL(任選2箱組),68折,3512,2398,486,2026-09-26 10:55:01
