icode,brand,name,discount,old_price,price,qty,scraped_at
13799375,Simply 新普利,超級夜酵素DX 100顆(x2盒),36折,11200,4099,489,2026-09-13 09:00:01
8174397,禾聯,無線遙控SPA潔便座,83折,7990,6690,48,2026-09-13 09:00:01
15576305,犀牛盾,iPhone 18 Pro/18 Pro Max Clear抗黃化透明防摔磁吸殼,99折,1281,1280,597,2026-09-13 09:00:01
10343718,元大珠寶黃金二錢金塊金條 投資保值利器(金重7.50克),元大珠寶黃金二錢金塊金條 投資保值利器(金重7.50克),93折,40088,37388,29,2026-09-13 09:00:01
9246383,卜蜂,急凍生鮮 去骨帶皮雞腿肉-去腳踝 真空6連包x2組_momo美味標章認證(2.7kg/組_團購.燉煮炒),47折,2700,1280,221,2026-09-13 09:00:01
14285929,Shark,LC351自動集塵智能無線吸塵器,64折,20000,12999,26,2026-09-13 09:00:01
8133411,大研生醫,德國頂級魚油3入組,36折,6750,2450,117,2026-09-13 09:00:01
13740632,HETRAS,飯店沐浴2入,48折,1198,579,488,2026-09-13 09:00:01
6467970,鈦安,萬用鈦砧板(大),7折,2300,1619,131,2026-09-13 09:00:01
15343926,奇境,無穀全貓糧+凍乾5kg,48折,7375,3599,297,2026-09-13 09:00:01
15328933,Tiger Family,高年級簡約素色書包-MAX2.0靈感 升級輕盈 輕量護脊書包-摺疊版(140CM以上適用 35L大容量),74折,3980,2970,119,2026-09-13 09:00:01
15101902,Philips 飛利浦,HX9924鑽石智能音波牙刷,63折,11400,7190,45,2026-09-13 09:00:01
15253183,URUHIMEMOMOKO 潤姬桃子,潤姬桃子30入x6盒,52折,10080,5328,200,2026-09-13 09:00:01
13611372,SK-II,青春露 330ml,54折,8990,4899,180,2026-09-13 09:00:01
13912813,K.W.,三宅風造型剪裁上衣外套(多款任選),29折,1999,598,440,2026-09-13 09:00:01
9223237,MYPROTEIN濃縮乳清蛋白1KG(多口味可選),MYPROTEIN濃縮乳清蛋白1KG(多口味可選),72折,1650,1199,291,2026-09-13 09:00:01
14444539,Apple,iPhone 17 Pro(256G/6.3吋),99折,39999,39900,34,2026-09-13 09:00:01
13733217,Evian 依雲,天然礦泉水500mlx2箱(共48入;法國原裝進口),44折,2352,1038,279,2026-09-13 09:00:01
8812188,國際牌,650公升新一級變頻冰箱,8折,33500,26888,31,2026-09-13 09:00:01
9509497,滿意寶寶,瞬潔乾爽輕巧褲L-XXL(任選2箱組),68折,3512,2398,492,2026-09-13 09:00:01
15597776,紅布朗,乘光相聚-人氣綜合堅果禮盒,62折,960,599,507,2026-09-13 09:00:01
9779579,Logitech 羅技,M650多工無線藍牙滑鼠,9折,1090,990,76,2026-09-13 09:00:01
15034475,Lenovo,小資首選★14吋i5輕薄16G,88折,24900,21999,20,2026-09-13 09:00:01
15494575,瑞康屋,黑尊榮單柄炒鍋30cm,46折,9440,4399,57,2026-09-13 09:00:01
13092955,幫寶適,一級幫散熱拉拉褲/黏貼尿布2箱,76折,2858,2198,486,2026-09-13 09:00:01
15027896,24HRS,3件組★包覆款無感軟鋼圈內衣,56折,2040,1160,490,2026-09-13 09:00:01
15559553,salomon,XT-EVR 休閒鞋,7折,4280,2999,85,2026-09-13 09:00:01
14176994,妮維雅,630淡斑煥白精華3入,42折,4497,1899,248,2026-09-13 09:00:01
8043545,虎牌,買1送1超輕量彈蓋保溫杯500ml,84折,1188,999,291,2026-09-13 09:00:01
15143441,科沃斯,獨家T90 PRO滾筒洗地機器人,32折,54988,17999,43,2026-09-13 09:00:01
15609166,麥當勞,3人超值分享餐,73折,542,399,710,2026-09-13 09:00:01
