icode,brand,name,discount,old_price,price,qty,scraped_at
11060709,滿意寶寶,極上呵護黏貼紙尿褲M-XL(任選2箱組),73折,4598,3398,495,2026-09-16 16:00:02
14107740,幫寶適,一級幫散熱拉拉褲/黏貼尿布5箱,71折,7145,5099,490,2026-09-16 16:00:02
11135282,台灣三洋,4-6坪一級變頻冷暖空調,7折,23890,16900,13,2026-09-16 16:00:02
15152423,好自在,液體衛生棉108-109片,5折,1788,899,469,2026-09-16 16:00:02
5517245,貝恩,嬰兒柔濕巾24包,53折,2480,1329,326,2026-09-16 16:00:02
15248937,雅詩蘭黛,小棕瓶100送100ml,25折,15800,4011,110,2026-09-16 16:00:02
15609155,麥當勞,麥脆雞腿套餐,8折,212,170,1,2026-09-16 16:00:02
14217313,OLAY,水光小白瓶30ml-2入,57折,2398,1379,291,2026-09-16 16:00:02
15582653,MAGY,當季娃娃鞋/休閒鞋/厚底/低跟/涼拖鞋(多款任選),26折,3680,990,83,2026-09-16 16:00:02
15677380,Apple,S+級福利品 2025 iPad 11 A16/11吋/WiFi/512G,89折,25900,23288,30,2026-09-16 16:00:02
12723306,小米官方旗艦館,無線吸塵器G20Lite,8折,2999,2411,61,2026-09-16 16:00:02
8500802,禾聯,14吋DC變頻風扇 14A8,45折,2690,1211,291,2026-09-16 16:00:02
15535333,石頭科技,Qrevo 2 Pro掃拖機器人,42折,39999,16999,49,2026-09-16 16:00:02
14571765,任天堂,Switch2+寶可夢ZA,87折,18138,15880,48,2026-09-16 16:00:02
10423370,特福,波爾多系列不沾4鍋6件組,3折,4280,1299,208,2026-09-16 16:00:02
14284895,鍋寶,黑鑽匠鋒萬用刀具收納組,33折,2080,699,361,2026-09-16 16:00:02
14001920,糖鼎,獨家規格黑糖茶磚x4袋,6折,1040,630,473,2026-09-16 16:00:02
14474884,協發行泡菜,吃貨任選4瓶,46折,1800,839,347,2026-09-16 16:00:02
11780927,比得兔,楓糖奶油派禮盒160g*2盒,64折,770,499,446,2026-09-16 16:00:02
15512661,巴黎萊雅,金緻護髮油任選3入,69折,1737,1211,237,2026-09-16 16:00:02
10544927,植享家,雙有機精油5入智能賞香組,18折,9680,1799,155,2026-09-16 16:00:02
13828428,麗仕,極輕光護膜洗髮/髮膜任選3入,48折,1437,699,562,2026-09-16 16:00:02
14581237,NIKE,P-6000復古休閒鞋(男女任選),47折,3800,1799,194,2026-09-16 16:00:02
15085501,VIGILL 婦潔,極植零菌免洗內褲60入組,75折,2300,1729,398,2026-09-16 16:00:02
11341067,福西珠寶黃金金豆 黃金小金豆子 0.30錢*1顆 (金重：0.30錢正負0.01錢),福西珠寶黃金金豆 黃金小金豆子 0.30錢*1顆 (金重：0.30錢正負0.01錢),89折,6588,5888,198,2026-09-16 16:00:02
11808699,大研生醫,動易動非變性二型膠原蛋白x4盒(共120粒),75折,7480,5650,120,2026-09-16 16:00:02
10285841,桂格完膳,無糖100鉻48入(糖尿病適用),85折,4210,3600,87,2026-09-16 16:00:02
15545600,饗食天堂,午/晚餐通用券4張,98折,4524,4458,63,2026-09-16 16:00:02
12984109,ARIEL,抗菌除臭洗衣補充8包,78折,1099,859,445,2026-09-16 16:00:02
9164453,立得清,酒精擦濕巾12包,58折,1540,899,225,2026-09-16 16:00:02
14491006,nac nac,奶瓶蔬果洗潔慕斯,59折,1680,999,103,2026-09-16 16:00:02
15688313,Apple,AirPods 5,9折,5080,4588,95,2026-09-16 16:00:02
15543247,MSI 微星,13吋Core 7超值輕薄筆電,69折,25900,17900,15,2026-09-16 16:00:02
15614849,歐洲百年芙蘿媞娜花神盛典萬用乳超殺6入組,歐洲百年芙蘿媞娜花神盛典萬用乳超殺6入組,24折,9900,2390,590,2026-09-16 16:00:02
