icode,brand,name,discount,old_price,price,qty,scraped_at
15394907,必勝客,13吋大比薩(10選2),29折,1320,389,576,2026-08-29 23:55:02
15209759,石頭科技,Qrevo Edge2掃拖機器人,33折,59999,19999,37,2026-08-29 23:55:02
13330665,瑞丹絲,全身&私密除毛膏6入,21折,5988,1311,218,2026-08-29 23:55:02
15516716,KERAIA 克萊亞,漫遊藍調時光百搭牛仔褲/裙(三款),26折,4380,1180,130,2026-08-29 23:55:02
11358673,adidas 愛迪達,輕量波紋瑜珈墊-8mm,47折,1380,650,11,2026-08-29 23:55:02
12984065,Whirlpool 惠而浦,15L高效除濕機 WDEE15TW,52折,12400,6511,0,2026-08-29 23:55:02
13776172,KOSE 高絲,雪肌精限量豪華禮,7折,3960,2811,103,2026-08-29 23:55:02
13244470,小米,75型Mini LED智慧TV,76折,29995,22999,15,2026-08-29 23:55:02
14564669,DELL,包鼠組★15.6吋i7輕薄文書筆電,8折,29429,23689,4,2026-08-29 23:55:02
15518679,Apple,S+級福利品 2025 iPad 11 A16/11吋/WiFi/512G,94折,25400,23888,28,2026-08-29 23:55:02
10628222,大研生醫,德國DHA80%兒童魚油 30粒X5盒,38折,7500,2899,143,2026-08-29 23:55:02
15077943,Branden,SAFEPLUS輕量安心防盜側背包,78折,2148,1688,77,2026-08-29 23:55:02
12541812,台達電子,浴室廁所涼暖風機-豪華400系列,52折,18000,9488,197,2026-08-29 23:55:02
8426761,ON 歐恩,金牌乳清蛋白5磅(多口味可選),64折,4999,3249,189,2026-08-29 23:55:02
15514565,Flokk,人體工學椅,45折,37200,16999,11,2026-08-29 23:55:02
15558586,祥和蔬食,祥和素油雞3包,65折,1288,848,302,2026-08-29 23:55:02
13955825,KID-O,任選三明治餅乾歡喜包4入,54折,916,499,599,2026-08-29 23:55:02
15224261,茶樹莊園,過碳酸鈉去汙粉5入,43折,1145,499,31,2026-08-29 23:55:02
6686848,HERAN 禾聯,無線手持吸塵器HVC-23E6B,47折,5688,2699,90,2026-08-29 23:55:02
15524644,未來美,A醇煥膚緊緻精華3入,3折,6240,1929,65,2026-08-29 23:55:02
