icode,brand,name,discount,old_price,price,qty,scraped_at
15185342,MAJOR MADE,日常減壓格紋雙拉鍊胸包(斜背包/胸包/防水包),64折,1390,890,146,2026-09-12 06:55:02
10635418,葡萄王,認證樟芝王菌絲體膠囊X8瓶 共480粒(陳志強推薦 GABA 芝麻素 幫助入睡 牛樟芝),49折,10800,5299,110,2026-09-12 06:55:02
9435817,清秀佳人,贈濕式衛生紙★純棉免洗內褲-多件組,65折,820,540,372,2026-09-12 06:55:02
11663033,dyson,V12 TC強勁輕量智慧無線吸塵器(雙主吸頭),71折,24900,17900,149,2026-09-12 06:55:02
11101628,LAC 利維喜升級版優鎂鈣粉Plus-檸檬口味x5盒組(共150包),LAC 利維喜升級版優鎂鈣粉Plus-檸檬口味x5盒組(共150包),49折,6000,2990,114,2026-09-12 06:55:02
12601819,Suntory 三得利,魚油 DHA＆EPA+芝麻明E 120顆x3罐組(DHA&EPA、芝麻明、維生素E、維生素D),78折,6300,4914,119,2026-09-12 06:55:02
14761090,BRITA,瞬熱冰溫熱開飲機13芯組,44折,31650,14119,22,2026-09-12 06:55:02
15625107,白蘭氏,養蔘飲8盒 (買一送一共16盒),5折,7328,3664,96,2026-09-12 06:55:02
12742602,聯碩,3-5坪一級變頻冷暖空調,53折,25900,13900,7,2026-09-12 06:55:02
11505028,LONGCHAMP,Le Pliage Xtra M Hobo半月形單肩包(多色),78折,21700,16999,1,2026-09-12 06:55:02
11986306,Munchee貪貪,機能主食罐24入,55折,1800,999,32,2026-09-12 06:55:02
13699298,鍋寶,鮮盾可微波保鮮盒6件組,3折,3680,1111,247,2026-09-12 06:55:02
13027255,iHDoc,全能鎂(60粒/盒；3盒),4折,2970,1190,226,2026-09-12 06:55:02
15321467,Microsoft 微軟,Office2024 家用版 盒裝,79折,5690,4499,67,2026-09-12 06:55:02
10266627,Home Dr.,蔓越莓呵護飲x10盒(10ml/包*15包),2折,10800,2160,114,2026-09-12 06:55:02
14415176,象印,買1送1彈蓋花漾保溫杯480ml,33折,3600,1188,133,2026-09-12 06:55:02
11105043,GJS 金敬順黃金9999金條 元寶 金豆 多選款(金重:1.00錢),GJS 金敬順黃金9999金條 元寶 金豆 多選款(金重:1.00錢),92折,20188,18688,84,2026-09-12 06:55:02
8531746,朵舒,momoco舒適柔韌150抽x80包,47折,1700,799,469,2026-09-12 06:55:02
15285666,ADAM 亞果元素,Hub SE10十合一多功能集線器,49折,1790,888,192,2026-09-12 06:55:02
13344416,資生堂國際櫃,百優乳霜75mlx2入,35折,7200,2580,276,2026-09-12 06:55:02
7763758,包大人,瞬吸防漏 黏貼型紙褲,55折,1799,999,970,2026-09-12 06:55:02
11103660,每朝健康,無糖綠茶650mlx2箱(共48入),58折,1872,1099,257,2026-09-12 06:55:02
8795232,時光永恆,玻尿酸精華液 240ml,41折,1920,799,196,2026-09-12 06:55:02
14047011,adidas 愛迪達,DURAMO SL 2 透氣運動鞋 跑鞋 慢跑鞋,43折,2490,1090,179,2026-09-12 06:55:02
7266941,鮮綠生活,台南XL超大片去刺虱目魚肚(220g±10%/片 共7片),37折,2790,1039,267,2026-09-12 06:55:02
11929493,國際牌,高滲透奈米水離子吹風機-NA0J白,64折,10900,6990,62,2026-09-12 06:55:02
14290077,American Explorer 美國探險家,30吋 上掀行李箱 TSA海關鎖 前開式 可擴充 PC材質 雙排輪 CF62 旅行箱,38折,4880,1875,366,2026-09-12 06:55:02
13028656,烏石港OA/凱渡酒店,聯合住宿券,48折,7260,3499,133,2026-09-12 06:55:02
8143213,LG,寵物版循環空氣清淨機一代-單層,48折,26800,12900,40,2026-09-12 06:55:02
13215599,德麗莎,特級初榨橄欖油750ml*3入(可生飲/出廠酸價0.5),5折,2145,1088,251,2026-09-12 06:55:02
13233302,凡士林,精華凝乳3入,44折,1197,535,218,2026-09-12 06:55:02
14201390,NEOFLAM,Cappu卡布系列陶瓷塗層炒鍋30公分+玻璃蓋,17折,6150,1099,696,2026-09-12 06:55:02
15520096,Apple,2026 iPad Air M4晶片/11吋/WiFi/256G,91折,30250,27799,20,2026-09-12 06:55:02
11660056,Baicycle,S3 小白電動折疊腳踏車,65折,19800,12999,20,2026-09-12 06:55:02
