icode,brand,name,discount,old_price,price,qty,scraped_at
15218652,Honeywell,獨家買大送小 純淨空氣清淨機,53折,18900,10111,45,2026-08-30 17:55:02
13874892,科沃斯,獨家T50 PRO全能掃拖機器人,31折,46999,14688,27,2026-08-30 17:55:02
15561920,Insta360,X6 8K全景運動相機-全能套裝(公司貨),99折,23991,23990,26,2026-08-30 17:55:02
8142113,白蘭氏,雞精72入,59折,5544,3276,91,2026-08-30 17:55:02
15530931,NIKE 耐吉,精選男女運動上衣 短袖 背心 Dri-FIT 排汗 (多款任選),5折,1580,799,382,2026-08-30 17:55:02
11072784,勳風,2入組-14吋360度循環扇 BHF-K0179,38折,2280,888,155,2026-08-30 17:55:02
12669400,彩花蜜,台灣龍眼蜂蜜3kg,45折,1900,869,274,2026-08-30 17:55:02
13051012,耐吉斯,E系列狗飼料22磅,59折,3190,1899,486,2026-08-30 17:55:02
11993924,WOKY沃廚,恰恰鍋32CM炒鍋,52折,5680,2980,81,2026-08-30 17:55:02
14217313,OLAY,水光小白瓶30ml-2入,57折,2398,1379,247,2026-08-30 17:55:02
13956184,聲寶瑞智,5-7坪一級變頻冷專空調,83折,23900,19900,13,2026-08-30 17:55:02
11790892,飛利浦,智能床頭保險櫃,86折,29900,25900,12,2026-08-30 17:55:02
12742602,聯碩,3-5坪一級變頻冷暖空調,53折,25900,13900,0,2026-08-30 17:55:02
15359433,成長天地,新實木 120cm桌面 兒童書桌椅,52折,18999,9999,55,2026-08-30 17:55:02
14376906,POIEMA,DrinkUP Pro冰溫瞬熱RO淨水器,37折,26990,9990,20,2026-08-30 17:55:02
13929131,Acer,送包鼠★15.6吋 R5輕薄效能,82折,22900,18900,54,2026-08-30 17:55:02
12942478,大成,舒迷/經典嫩雞胸肉20+5片,45折,1975,899,222,2026-08-30 17:55:02
14817184,薆悅酒店野柳館,雙人午/晚餐吃到飽,8折,1166,938,302,2026-08-30 17:55:02
9929266,m2 美度,超能膠原飲8盒囤貨組(64入),37折,13440,5080,478,2026-08-30 17:55:02
14691325,BenQ,24型 FHD 144Hz 護眼螢幕,76折,3688,2818,24,2026-08-30 17:55:02
15437343,蘭蔻,超極限小黑瓶PRO50ml 雙入,34折,22320,7770,44,2026-08-30 17:55:02
14820764,COCODOR,臻藏擴香5入禮盒組,49折,2199,1099,234,2026-08-30 17:55:02
12845345,橘子工坊,天然制菌洗衣球108顆,37折,1742,649,418,2026-08-30 17:55:02
