icode,brand,name,discount,old_price,price,qty,scraped_at
13075514,巴黎卡詩,黑鑽髮膜買200送210,41折,6500,2700,373,2026-09-08 10:55:05
12863743,JVC,65型4K連網TV,49折,29999,14988,9,2026-09-08 10:55:05
14812093,巴黎卡詩,奢光小金油買75送60,46折,5000,2340,192,2026-09-08 10:55:05
5788617,NESCAFE 雀巢咖啡,金牌微研磨咖啡補充包120g x3包,83折,800,669,393,2026-09-08 10:55:05
14195271,營養師輕食,雙苦瓜胜肽膠囊 6入組(一瓶90顆),49折,10140,4975,19,2026-09-08 10:55:05
13224566,m2 美度,超能膠原飲/晚安飲 任選1箱(100包),43折,17250,7580,490,2026-09-08 10:55:05
15097603,蘭諾,衣物芳香豆補充4入,5折,1996,999,390,2026-09-08 10:55:05
14470326,Logitech 羅技,MX Master 4 無線滑鼠,83折,4190,3490,69,2026-09-08 10:55:05
13956184,聲寶瑞智,5-7坪一級變頻右吹冷氣,83折,23900,19900,7,2026-09-08 10:55:05
15629670,VIVAIA,樂福鞋/運動芭蕾舞鞋/瑪莉珍鞋/涼鞋(多款任選),59折,5180,3080,99,2026-09-08 10:55:05
14877682,大振豐,CORVIX 逐雨者 高機能一件式無拉鍊輕量雨衣(附提袋),78折,1280,999,194,2026-09-08 10:55:05
14178029,WEDGWOOD,冰感天絲雙人涼被,25折,19960,4990,59,2026-09-08 10:55:05
11821954,達摩本草,92% Omega-3 rTG高濃度魚油EX 10入組,33折,19000,6399,45,2026-09-08 10:55:05
7704454,紐頓,T22/T24無穀貓飼料5.4kg,53折,3450,1849,537,2026-09-08 10:55:05
9835777,台灣第一筷,316不鏽鋼寶筷5雙組,53折,1250,669,414,2026-09-08 10:55:05
13864299,落建,頭皮洗髮精400mlx4入,69折,1516,1059,572,2026-09-08 10:55:05
13229603,dyson,V8 SV25強勁無線吸塵器(經典熱銷款),53折,16900,8990,129,2026-09-08 10:55:05
15565371,人可和48H高鋅硒30粒x4袋,人可和48H高鋅硒30粒x4袋,51折,1560,799,101,2026-09-08 10:55:05
15119015,樂敦,V游離型葉黃素複方軟膠囊 120粒*2入,72折,3596,2599,72,2026-09-08 10:55:05
13506797,歐姬兒,升級版蜂王乳凝露EX6入,36折,12600,4622,41,2026-09-08 10:55:05
13623634,義美,原味保久乳125mlx3箱(共72入),7折,1080,759,263,2026-09-08 10:55:05
15034893,Whirlpool 惠而浦,12公升極薄清淨除濕機 WDEE1200TW,73折,10490,7690,34,2026-09-08 10:55:05
4851301,KKLife,KKLife起司肉捲10+8條肉捲,9折,1099,999,268,2026-09-08 10:55:05
15591156,小米,紅米 Note 17 Pro Max(12G/256G),93折,15999,14999,39,2026-09-08 10:55:05
15059252,Lenovo,15.6吋Ryzen 3 U版輕薄筆電,86折,14990,12990,21,2026-09-08 10:55:05
15248937,雅詩蘭黛,小棕瓶100送100ml,25折,15800,4011,168,2026-09-08 10:55:05
15152423,好自在,液體衛生棉108-109片,5折,1788,899,397,2026-09-08 10:55:05
15609162,麥當勞,Oreo冰炫風2杯,5折,118,59,8,2026-09-08 10:55:05
9509460,滿意寶寶,瞬潔乾爽輕巧褲L-XXL(任選3箱組),66折,5268,3497,462,2026-09-08 10:55:05
10075784,MarCella 瑪榭,7件/6件組★緊實包臀輕薄抗菌內褲,55折,1813,999,478,2026-09-08 10:55:05
13517660,明月豆腐,豆腐餅乾5包,84折,690,585,452,2026-09-08 10:55:05
12638823,BRITA,去水垢濾芯(12入裝),85折,3276,2815,91,2026-09-08 10:55:05
15175757,Philips 飛利浦,X5012電鬍刀+HX2411音波牙刷,81折,3888,3188,99,2026-09-08 10:55:05
15136858,佐丹奴,男女裝透氣彈力休閒褲(多色任選),5折,1290,649,280,2026-09-08 10:55:05
12159292,DIADORA,男女款輕量慢跑鞋(網路獨家價),47折,1480,699,339,2026-09-08 10:55:05
14260703,美博士,專業隔離清爽防曬乳2入組,35折,3340,1180,234,2026-09-08 10:55:05
15609862,GW水玻璃無耗材分離式除濕器6+1搶購組,GW水玻璃無耗材分離式除濕器6+1搶購組,58折,4930,2899,487,2026-09-08 10:55:05
