icode,brand,name,discount,old_price,price,qty,scraped_at
14023887,MYSHEROS 蜜雪兒,多色多款休閒褲(多款多色任選),28折,3080,888,183,2026-09-03 10:55:01
12831408,MarCella 瑪榭,任選3件★集中美胸無鋼圈內衣,6折,2397,1450,416,2026-09-03 10:55:01
15091883,Philips 飛利浦,HX7421全能亮白音波電動牙刷,93折,6290,5890,190,2026-09-03 10:55:01
12718554,白蘭氏,保捷三合一EX 30顆x3盒,8折,5940,4752,61,2026-09-03 10:55:01
11405576,雨沐HOOMUA,經典前開式雨衣防滲水升級版,4折,990,399,926,2026-09-03 10:55:01
14563050,Panasonic 國際牌,11公升一級能效nanoeX除濕機◆適用14坪(F-Y22PN),87折,10590,9319,15,2026-09-03 10:55:01
15572689,樂高,橡膠惡魔果實75647,79折,2499,1999,114,2026-09-03 10:55:01
11170232,Arlink,雙UV紫外線殺菌牙刷架,33折,2980,990,18,2026-09-03 10:55:01
14217313,OLAY,水光小白瓶30ml-2入,57折,2398,1379,264,2026-09-03 10:55:01
15504240,舞光,50W雲朵遙控吸頂燈,45折,3500,1588,116,2026-09-03 10:55:01
15565407,周大福,網路限定 9999黃金金豆 1公克,85折,6402,5499,15,2026-09-03 10:55:01
7245638,tokuyo,肩頸鬆PLUS肩頸按摩器,7折,3980,2799,3,2026-09-03 10:55:01
6993762,優格,經典貓飼料13.6kg,58折,3060,1799,564,2026-09-03 10:55:01
14228179,IRIS,沁泡氣泡水500mlx2箱(共48入),57折,1260,720,330,2026-09-03 10:55:01
14587016,WEIDER 威德益生菌x2盒(3gx90包/盒),WEIDER 威德益生菌x2盒(3gx90包/盒),81折,2200,1799,162,2026-09-03 10:55:01
14460587,IFME,小中童學步鞋/運動鞋/水涼鞋/機能鞋(多款任選),56折,1480,829,280,2026-09-03 10:55:01
15495865,東芝,55型4K智慧顯示器,47折,24900,11900,29,2026-09-03 10:55:01
15511122,台畜,乾杯燒肉居酒屋x台畜_海陸饗宴13件組,53折,3141,1688,168,2026-09-03 10:55:01
10996640,資生堂美髮,活耀洗髮露500ml,32折,4060,1328,184,2026-09-03 10:55:01
14047011,adidas 愛迪達,DURAMO SL 2 透氣運動鞋 跑鞋 慢跑鞋 寬楦 男鞋 多款任選(IF9400/IH8221/IH8215/IH8219),43折,2490,1090,248,2026-09-03 10:55:01
13286234,adidas 愛迪達,精選運動鞋 跑鞋 慢跑鞋 男鞋/女鞋 多款任選(GZ8184/G58098/IE8803/ID6516),37折,2690,999,192,2026-09-03 10:55:01
13796975,首華,4-5坪一級變頻冷暖空調,46折,29900,13900,12,2026-09-03 10:55:01
14772650,營養師輕食,法國超臨界魚油 5入組,44折,9500,4200,81,2026-09-03 10:55:01
10112878,orionjako,任選韓國海苔96入組 (12入/包x8包),62折,1120,699,353,2026-09-03 10:55:01
9474221,添寧,貼心敢動褲M-XL,49折,1999,999,946,2026-09-03 10:55:01
15529915,小米,27型 IPS 200Hz電競螢幕,87折,3399,2988,30,2026-09-03 10:55:01
15609162,麥當勞,Oreo冰炫風2杯,5折,118,59,6,2026-09-03 10:55:01
15130344,YOMIX 優迷,磁吸收納線組★四合一迷你5000mAh半固態磁吸行動電源,23折,4170,999,78,2026-09-03 10:55:01
13604330,DON,買1送1 60支100%天絲床包枕套組,0.7折,15960,1199,48,2026-09-03 10:55:01
15515565,SK-II,青春精華液30ml,59折,6992,4140,58,2026-09-03 10:55:01
9812458,MAGIC,大視界LED護眼檯燈,67折,3690,2490,66,2026-09-03 10:55:01
13092955,幫寶適,一級幫散熱拉拉褲/黏貼尿布2箱,76折,2858,2198,468,2026-09-03 10:55:01
15512330,vivoX300 Ultra 5G 6.82吋(16G/512G/Snapdragon8EliteGen5/2億萬拍照畫素),vivoX300 Ultra 5G 6.82吋(16G/512G/Snapdragon8EliteGen5/2億萬拍照畫素),98折,48990,48490,15,2026-09-03 10:55:01
10536422,QUAKER 桂格,無糖養氣人蔘 72入,73折,4320,3185,72,2026-09-03 10:55:01
