icode,brand,name,discount,old_price,price,qty,scraped_at
10689278,SK-II,青春露買330送180,46折,16534,7641,17,2026-09-07 11:03:02
11236766,Kotex 靠得住,草本/蔓越莓抑菌/好菌Plus+衛生棉 (17.5-35cm),24折,2398,599,1,2026-09-07 11:03:02
15097339,好好生醫,10倍奇蹟蜂王乳3入,53折,5040,2699,36,2026-09-07 11:03:02
14896929,肌膚之鑰,妝前凝霜雙入組,54折,4200,2299,249,2026-09-07 11:03:02
15567876,DJI,OSMO 360 II 暢拍套裝 全景相機/運動相機｜旗艦畫質可換鏡片｜內建105G(聯強國際貨),92折,20990,19490,29,2026-09-07 11:03:02
15272511,舒潔,momo獨家☆柔厚韌感三層90抽x48包,46折,1499,699,499,2026-09-07 11:03:02
15457748,矜蘭妃真真石墨烯無縫內褲健康99特殺檔×6件,矜蘭妃真真石墨烯無縫內褲健康99特殺檔×6件,25折,7470,1899,1,2026-09-07 11:03:02
10541696,雅詩蘭黛,小棕瓶115mlx2,53折,18435,9900,70,2026-09-07 11:03:02
13683504,伊萊克斯,超級完美管家吸塵器HEPA進化版(黑/紅),27折,10900,2990,99,2026-09-07 11:03:02
11029279,東元,7-8坪一級變頻冷暖空調,69折,39900,27900,20,2026-09-07 11:03:02
13776182,KOSE 高絲,雪肌精500ml,5折,3960,1980,155,2026-09-07 11:03:02
15199416,東芝,65型QLED Google TV,45折,39900,17999,50,2026-09-07 11:03:02
10831186,pidan,混合貓砂4桶裝,44折,2600,1149,494,2026-09-07 11:03:02
15608617,華碩,15.6吋Core 5輕薄,83折,23999,19999,49,2026-09-07 11:03:02
12842795,亞培,任選-安素原味/香草減甜即飲 HMB升級配方237ml x30入x2箱(HMB、三重優蛋白、任賢齊代言),85折,5140,4376,200,2026-09-07 11:03:02
15512497,Even Realities,Even G2 AI 智慧眼鏡(智能眼鏡/語音助理/即時翻譯/會議提詞/導航/輕量),99折,19991,19990,30,2026-09-07 11:03:02
15457201,樂維根,經典植物優蛋白 2入(1KG/袋),6折,2160,1299,449,2026-09-07 11:03:02
7660057,brother,DCP-1510黑白雷射複合機★支援XP系統印速快,79折,3890,3090,29,2026-09-07 11:03:02
15592520,娘家,穀胱甘太GSH美日皙煥妍錠4盒組(60錠/盒),61折,5200,3188,53,2026-09-07 11:03:02
15649016,ONEHOUSE丹邁手提防水購物車,ONEHOUSE丹邁手提防水購物車,39折,2000,799,83,2026-09-07 11:03:02
13696314,樂高,法拉利F1賽車42207,66折,7999,5299,116,2026-09-07 11:03:02
12553130,潘婷,3分鐘奇蹟護髮精華5入組,57折,1395,799,286,2026-09-07 11:03:02
15106212,STANLEY,官方直營 輕滑速吸水壺0.59L,92折,1280,1180,259,2026-09-07 11:03:02
13785659,國際牌,奈米水離子吹風機-迷霧金(WNA9M),7折,6090,4290,79,2026-09-07 11:03:02
15344058,FitFlop,2026網路獨家款-LULU金屬亮粉造型夾腳涼鞋(4色),57折,3050,1750,297,2026-09-07 11:03:02
14955206,DR.WU,玻尿酸保濕精華液3入組,5折,4800,2400,120,2026-09-07 11:03:02
13279705,ARIEL,抗菌抗臭洗衣精2+6組,57折,1398,799,497,2026-09-07 11:03:02
13569086,THOMSON,智能觸控不鏽鋼8公升氣炸鍋 TM-SAT29A(超大容量 可視窗/可視燈 觸控式操作面板),8折,1980,1599,50,2026-09-07 11:03:02
15352292,OPPO,Find X9s (12G/256G),59折,32990,19590,30,2026-09-07 11:03:02
13705808,迪朗奇,22.110全自動義式咖啡機,4折,36900,14900,50,2026-09-07 11:03:02
15407785,台灣G湯,台灣黃金搭檔12入+麵線2包,56折,1750,990,309,2026-09-07 11:03:02
15090826,果貿吳媽家水餃,超人氣冠軍組盒,49折,1583,790,398,2026-09-07 11:03:02
15570102,成長天地,新實木100cm桌面兒童書桌椅,52折,16999,8888,50,2026-09-07 11:03:02
15401562,契爾氏,RHC膠原快充精華30ml,77折,3109,2400,124,2026-09-07 11:03:02
14107740,幫寶適,一級幫散熱拉拉褲/黏貼尿布5箱,74折,7145,5295,499,2026-09-07 11:03:02
12455687,風車圖書,知識圖鑑百科52件組,65折,4600,2990,34,2026-09-07 11:03:02
9194954,樂米穀場,花蓮富里產初雪美姬1.5kg*6入組,53折,1599,859,398,2026-09-07 11:03:02
13577678,麥雪爾,男女速乾連帽外套(多色選),17折,4500,790,380,2026-09-07 11:03:02
15155031,NIKE,PEGASUS 42 小飛馬慢跑鞋(男女任選),6折,3800,2299,198,2026-09-07 11:03:02
10728247,西雅圖,貝瑞斯塔即溶咖啡100入x2盒(任選二合一/三合一),62折,2000,1249,239,2026-09-07 11:03:02
14654886,瑞康屋,不鏽鋼平底鍋24cm,54折,2200,1199,135,2026-09-07 11:03:02
13604330,DON,買1送1 60支100%天絲床包枕套組,0.7折,15960,1199,24,2026-09-07 11:03:02
15633791,星巴克,大杯那堤(兌換冰熱任選),75折,140,105,2,2026-09-07 11:03:02
8519077,康定,植萃酵素洗髮精２入組,72折,1580,1150,255,2026-09-07 11:03:02
11928914,舒主金,加蓋純水濕巾36包,5折,1404,711,393,2026-09-07 11:03:02
