icode,brand,name,discount,old_price,price,qty,scraped_at
14942665,ONE HOUSE格拉斯人體工學電腦椅,ONE HOUSE格拉斯人體工學電腦椅,41折,7800,3199,92,2026-09-15 03:30:01
13998594,熊貓金黃金金條0.5錢多種款式任選(黃金金條),熊貓金黃金金條0.5錢多種款式任選(黃金金條),92折,10088,9288,74,2026-09-15 03:30:01
14225751,小米,65型QLED聯網智慧TV,94折,17999,16999,20,2026-09-15 03:30:01
13705808,迪朗奇,22.110.SB 全自動義式咖啡機,4折,36900,14900,41,2026-09-15 03:30:01
8143213,LG,寵物版循環空氣清淨機一代-單層,48折,26800,12900,29,2026-09-15 03:30:01
14761090,BRITA,瞬熱冰溫熱開飲機13芯組,44折,31650,14119,20,2026-09-15 03:30:01
15650438,石頭科技,F25 Steam白蒸蒸洗地機,48折,28900,13888,41,2026-09-15 03:30:01
10288490,TELITA,棉柔吸水速乾毛巾12入,38折,1300,499,237,2026-09-15 03:30:01
7722582,Tefal 特福,爵士不沾平底鍋26CM,24折,1635,399,120,2026-09-15 03:30:01
6609184,金車,CrystalValley礦沛氣泡水585mlx72入,49折,1800,899,314,2026-09-15 03:30:01
15517774,老協珍,熬雞精25入+Owala水壺+人蔘精7入,66折,4500,2999,319,2026-09-15 03:30:01
10055187,古寶,活膚晶皂20入任選,38折,2599,990,243,2026-09-15 03:30:01
15610260,Bello.U,微晶胜肽眼霜,0.3折,53397,1999,89,2026-09-15 03:30:01
15438223,蘭蔻,零粉感超持久蜜粉餅,64折,2884,1848,192,2026-09-15 03:30:01
6867502,Hang Ten,9件組經典彈力男內褲_多款任選(平口褲/三角褲),51折,1197,620,1,2026-09-15 03:30:01
14991731,NEW BALANCE,411+413跑鞋系列_多款任選,52折,2280,1199,90,2026-09-15 03:30:01
15559818,NEW BALANCE,327系列_復古鞋(多款任選),53折,2980,1580,169,2026-09-15 03:30:01
15251954,RALPH LAUREN,小馬刺繡圓領T恤(男女可穿),47折,2380,1119,237,2026-09-15 03:30:01
15457201,THE VEGAN 樂維根,經典植物優蛋白2入(1KG/袋),6折,2160,1299,426,2026-09-15 03:30:01
10523447,醫強,75%酒精液 6桶(4000ml/桶),33折,4500,1499,290,2026-09-15 03:30:01
4856684,Simply 新普利,日本專利益生菌30包(3盒),46折,2970,1380,496,2026-09-15 03:30:01
15394907,必勝客,13吋大比薩(10選2),29折,1320,389,522,2026-09-15 03:30:01
14687829,Autotek,4K+2K 電子後視鏡行車記錄器,73折,4999,3680,45,2026-09-15 03:30:01
14107740,幫寶適,一級幫散熱拉拉褲/黏貼尿布5箱,71折,7145,5099,481,2026-09-15 03:30:01
14991091,CIAO,囤貨組-啾嚕肉泥24包,6折,1398,849,265,2026-09-15 03:30:01
10116136,倍潔雅,舒感柔韌150抽x70包,52折,1350,709,457,2026-09-15 03:30:01
11246023,滿意寶寶,寶可夢晚安褲L-XXXL(任選2箱組),79折,2514,1998,473,2026-09-15 03:30:01
15262929,MSI 微星,15.6吋 Core7 RTX5060熱銷首選電競,88折,49900,43999,13,2026-09-15 03:30:01
14752389,Marshall,Stockwell II攜帶式藍牙喇叭 公司貨(古銅黑),62折,7990,4999,45,2026-09-15 03:30:01
15479608,Apple,2025 iPad 11 A16/11吋/WiFi/256G,91折,19090,17556,26,2026-09-15 03:30:01
