icode,brand,name,discount,old_price,price,qty,scraped_at
10689278,SK-II,青春露買330送180,46折,16534,7641,294,2026-09-09 23:00:01
13351861,船井生醫,FIP100纖維粉增量限定版(共240包),34折,19200,6580,48,2026-09-09 23:00:01
8037995,倍潔雅,花漾柔感150抽x84包,5折,1680,849,714,2026-09-09 23:00:01
8045170,雅頓,超人氣綠茶香水沐浴膠組,28折,3407,969,271,2026-09-09 23:00:01
11663033,dyson,V12 TC強勁輕量智慧無線吸塵器(雙主吸頭),71折,24900,17900,149,2026-09-09 23:00:01
15572680,樂高,科尼賽克超跑42232,74折,15999,11999,6,2026-09-09 23:00:01
15209759,石頭科技,Qrevo Edge2掃拖機器人,33折,59999,19999,44,2026-09-09 23:00:01
15088023,m2 美度,超能膠原新生飲8盒組(8入/盒),46折,11040,5080,47,2026-09-09 23:00:01
10494588,品木宣言,新版靈芝水400ml,7折,2259,1600,193,2026-09-09 23:00:01
8649334,DEPE德邁國際電腦工學椅,DEPE德邁國際電腦工學椅,59折,4200,2499,69,2026-09-09 23:00:01
15524770,Samsung 三星,Galaxy A57 5G 6.7吋(12G/256G/Exynos1680/5000萬鏡頭畫素),7折,20490,14380,30,2026-09-09 23:00:01
15091139,資生堂國際櫃,百優乳霜 75ml,36折,3600,1322,281,2026-09-09 23:00:01
10419093,滿意寶寶,極上呵護輕巧褲L-XL(任選2箱組),75折,3798,2878,492,2026-09-09 23:00:01
6095028,金園排骨 老店特級厚切排骨15片組(買2組送去皮去骨雞腿鹽酥雞1包),金園排骨 老店特級厚切排骨15片組(買2組送去皮去骨雞腿鹽酥雞1包),58折,2560,1498,199,2026-09-09 23:00:01
9244574,佳德,鳳梨酥禮盒12入x2盒,78折,1399,1099,294,2026-09-09 23:00:01
13683504,伊萊克斯,超級完美管家吸塵器HEPA進化版(黑/紅),27折,10900,2990,175,2026-09-09 23:00:01
14591631,dyson 戴森,HD16 Supersonic Nural™ 全新一代 吹風機 溫控 負離子(普魯士藍限定色),66折,16600,10999,28,2026-09-09 23:00:01
11575124,達摩本草,專利山苦瓜胜月太6入(共540顆),41折,12000,4950,78,2026-09-09 23:00:01
10362698,花王,柔舒蒸氣眼罩 72入,55折,2340,1299,188,2026-09-09 23:00:01
15409887,華碩,14吋Ultra 7輕薄32G,93折,44999,41999,20,2026-09-09 23:00:01
7390178,台鹽,海洋鹼性離子水850mlx3箱/共60入(官方直營),62折,1905,1197,280,2026-09-09 23:00:01
14175260,法國皇家,理想體態貓飼料15kg,72折,4550,3299,487,2026-09-09 23:00:01
15609159,麥當勞,豬肉滿福堡+薯餅,66折,87,58,6,2026-09-09 23:00:01
13840658,NIKE 耐吉,運動鞋 休閒鞋 情侶鞋 AIR FORCE 1 07 / DUNK 男鞋 女鞋 AF1 麂皮 黑白 多款(IH1698-003&),55折,3600,1999,286,2026-09-09 23:00:01
15204602,LG,65型 4K智慧聯網TV,68折,27900,18999,29,2026-09-09 23:00:01
14967318,MEDITHERAPY,玻尿酸精華,29折,3300,959,289,2026-09-09 23:00:01
15607792,華碩,16吋R9電競RTX 5060,96折,54999,52999,49,2026-09-09 23:00:01
10548243,農純鄉,滴雞精45入+益菌蔓越莓7入,76折,7200,5499,35,2026-09-09 23:00:01
15636907,Apple,2025 iPad 11 A16/11吋/WiFi/128G,9折,15590,14099,23,2026-09-09 23:00:01
14107176,DR.WU,角鯊潤澤修復精華油3入,5折,6000,3000,89,2026-09-09 23:00:01
13094241,Herman Miller人體工學椅,Herman Miller人體工學椅,61折,39999,24599,6,2026-09-09 23:00:01
15437770,飲后,超孅飲6盒(15包/盒),37折,7680,2880,196,2026-09-09 23:00:01
15585319,SHARP 夏普25公升 乾淨方PRO+ 雙氣流AIoT變頻美學除濕機(DW-UX25HT-H/W),SHARP 夏普25公升 乾淨方PRO+ 雙氣流AIoT變頻美學除濕機(DW-UX25HT-H/W),8折,25900,20900,48,2026-09-09 23:00:01
15545077,花蓮遠雄海洋公園,單人全票買一送一,5折,1980,990,204,2026-09-09 23:00:01
15359433,成長天地,新實木120cm桌面 兒童書桌椅,52折,18999,9999,38,2026-09-09 23:00:01
10024935,Persil,三合一洗衣球180顆,5折,1996,999,468,2026-09-09 23:00:01
11300579,Lunio,Helix雙人乳膠獨立筒床墊,37折,19800,7490,36,2026-09-09 23:00:01
8333154,3M,S301櫥下型生飲三道式淨水器特惠組,63折,14440,9111,36,2026-09-09 23:00:01
8519077,康定,植萃酵素洗髮精２入組,72折,1580,1150,218,2026-09-09 23:00:01
15564552,曼黛瑪璉,3套組-穩定包覆經典內衣 B-E罩杯,26折,6480,1699,980,2026-09-09 23:00:01
14069122,American Explorer 美國探險家,20+25+29/20+25+30吋 前開式行李箱 三件組 上掀式 可加大 旅行箱 登機箱,33折,14740,4880,81,2026-09-09 23:00:01
8372350,挺立,關鍵迷你錠4+1盒組,6折,4995,2998,485,2026-09-09 23:00:01
