icode,brand,name,discount,old_price,price,qty,scraped_at
14247335,SK-II,活膚霜買80g送50g,49折,10768,5355,469,2026-09-05 17:55:01
14560768,SK-II,青春敷面膜22送12片,53折,17314,9290,100,2026-09-05 17:55:01
15227107,PP 石墨烯,石墨烯粒線修復女內褲4件,33折,10880,3699,86,2026-09-05 17:55:01
13604421,3M,無痕高承重304不鏽鋼收納架,76折,2490,1899,98,2026-09-05 17:55:01
14976030,營養師輕食,甘露糖蔓越莓EX 5入組(一盒15條),96折,2495,2400,162,2026-09-05 17:55:01
9609907,芭比波朗,維他命超完美乳霜50ml,87折,2964,2600,192,2026-09-05 17:55:01
15119015,樂敦,V游離型葉黃素複方軟膠囊 120粒*2入,72折,3596,2599,89,2026-09-05 17:55:01
11700821,Havit,海威特高續航耳罩式藍芽耳機H630BT,31折,2499,799,255,2026-09-05 17:55:01
14906985,周大福,網路限定 9999 黃金上上籤 3公克；大吉大利款,87折,19052,16699,22,2026-09-05 17:55:01
12723306,小米官方旗艦館,無線吸塵器G20Lite,8折,2999,2411,53,2026-09-05 17:55:01
10207934,嚴萃,威猛戰神黑瑪卡-男性雄風必備3入組/共90粒,3折,2499,750,319,2026-09-05 17:55:01
10704944,禾聯,10KG直立洗衣機,5折,12900,6499,57,2026-09-05 17:55:01
15114860,Philips 飛利浦,X3051全新X系列電鬍刀,59折,2840,1688,20,2026-09-05 17:55:01
9668454,RED COW 紅牛,官方直營 特級即溶全脂奶粉2.1kgX2罐,73折,1500,1098,259,2026-09-05 17:55:01
9699966,紅龍,經典炸物組6包,55折,899,499,496,2026-09-05 17:55:01
15253403,營養師輕食,台灣01益生菌9入組(一入30包),63折,18000,11430,98,2026-09-05 17:55:01
6709688,Angel LaLa 天使娜拉,榖胱甘肽膠原粉8盒,25折,8640,2220,182,2026-09-05 17:55:01
15622457,MUFU,雙鏡頭機車行車記錄器 V20S Pro(單機標配),44折,3990,1790,64,2026-09-05 17:55:01
11691199,Airwaves,超涼無糖口香糖10入(提神/潔牙/口腔清潔),74折,860,639,451,2026-09-05 17:55:01
11060709,滿意寶寶,極上呵護黏貼紙尿褲M-XL(任選2箱組),73折,4598,3398,464,2026-09-05 17:55:01
15506025,華碩,Ultra 5輕薄16G/OLED,92折,37999,34999,47,2026-09-05 17:55:01
13582591,PENTAX,WG-1000 工業級 防水相機(公司貨),85折,9900,8490,15,2026-09-05 17:55:01
15292474,凱撒飯店聯合券,4館通用餐飲券,47折,1738,818,327,2026-09-05 17:55:01
15557881,PETER RABBIT 比得兔,冰絲涼感冰冰被-任選,19折,7280,1399,129,2026-09-05 17:55:01
3252331,五月花,新柔韌抽取110抽x72包,54折,1470,799,190,2026-09-05 17:55:01
14042714,理膚寶水,太空科技防防曬乳,44折,3462,1524,176,2026-09-05 17:55:01
14333849,特福,可拆式不沾鍋3鍋4件組-蜜桃粉,33折,5999,1999,140,2026-09-05 17:55:01
12242437,PETBERRY,木薯砂6包,53折,1680,899,133,2026-09-05 17:55:01
14377896,LEVIS,男女生短袖 限定優惠 多款任選,29折,1690,499,553,2026-09-05 17:55:01
13247426,寶拉珍選,2%水楊酸精華液2入,7折,2400,1699,241,2026-09-05 17:55:01
15143441,科沃斯,獨家T90 PRO滾筒掃拖機器人,32折,54988,17999,44,2026-09-05 17:55:01
13904540,TIGER 虎牌,買1送1 旋蓋不鏽鋼保溫瓶,44折,1980,888,217,2026-09-05 17:55:01
