icode,brand,name,discount,old_price,price,qty,scraped_at
11135282,台灣三洋,4-6坪一級變頻冷暖空調,7折,23890,16900,15,2026-09-20 18:03:02
13244840,寶拉珍選,0.3%A醇精華乳2入,69折,4160,2890,213,2026-09-20 18:03:02
15599167,Cuisinart 美膳雅19L 10合一數位氣炸烤箱 TOA-100TW,Cuisinart 美膳雅19L 10合一數位氣炸烤箱 TOA-100TW,74折,7980,5980,49,2026-09-20 18:03:02
8426426,滿意寶寶,純水/極上呵護/防蚊濕巾,46折,1950,899,400,2026-09-20 18:03:02
15457201,THE VEGAN 樂維根,經典植物優蛋白2入(1KG/袋),59折,2160,1276,449,2026-09-20 18:03:02
13193762,UCC,BLACK無糖咖啡185gx2箱(共60入),47折,1800,849,398,2026-09-20 18:03:02
10932651,朵舒,100%美國棉飯店大浴巾四件組,53折,1680,899,150,2026-09-20 18:03:02
15585568,正牛,日本大金塗層不沾深炒鍋28cm,33折,1798,599,239,2026-09-20 18:03:02
15520602,東妮寢飾,雲朵眠水洗四季被,29折,3360,999,168,2026-09-20 18:03:02
11724005,ONEHOUSE五開門折疊收納箱4入,ONEHOUSE五開門折疊收納箱4入,45折,3300,1499,198,2026-09-20 18:03:02
15605632,Shark？,LC751 自動集塵智能無線吸塵器,95折,16800,15999,30,2026-09-20 18:03:02
13236572,LG 樂金,12公升變頻除濕機 DD121MWE0,73折,17900,13111,29,2026-09-20 18:03:02
11953390,Panasonic 國際牌獨家專賣-瞬熱式溫水洗淨便座．含基本安裝(DL-5909TWW-TW),Panasonic 國際牌獨家專賣-瞬熱式溫水洗淨便座．含基本安裝(DL-5909TWW-TW),73折,10900,7999,98,2026-09-20 18:03:02
14348759,星巴克,特選抹茶拿鐵4入x6盒,88折,1014,899,343,2026-09-20 18:03:02
9649017,義豐食品,蔥油派40片,96折,999,969,349,2026-09-20 18:03:02
15019973,法之羽,黑燦養髮液2入組(升級版),48折,7960,3880,140,2026-09-20 18:03:02
14273693,COSME DECORTE 黛珂,裸光訂製眼彩盤 5g(9色可選),9折,1650,1485,205,2026-09-20 18:03:02
15477277,巴黎萊雅,紫熨斗撫紋眼霜2入,63折,2678,1699,200,2026-09-20 18:03:02
14069122,American Explorer 美國探險家,20+25+29/20+25+30吋 前開式行李箱 三件組 上掀式 可加大 旅行箱 登機箱,33折,14740,4880,298,2026-09-20 18:03:02
15648348,FILA,爆款男女運動鞋 慢跑鞋 休閒鞋 (多款任選),33折,2680,899,300,2026-09-20 18:03:02
15629275,BROLICO 保綠康,日本原裝綠花椰菜多醣體3入(身體保護力、好眠、加速代謝),45折,6000,2739,87,2026-09-20 18:03:02
13799375,Simply 新普利,超級夜酵素DX 100顆(x2盒),36折,11200,4099,500,2026-09-20 18:03:02
11660056,Baicycle,S3 小白電動折疊腳踏車,65折,19800,12999,23,2026-09-20 18:03:02
4105567,ecostore,洗碗機洗碗粉2kg,72折,900,649,300,2026-09-20 18:03:02
6532205,五月花,厚棒四層抽取90抽x60包,71折,1674,1199,298,2026-09-20 18:03:02
15307997,ASUS 華碩,16吋R7電競16G,86折,43999,37999,50,2026-09-20 18:03:02
14994690,Samsung 三星,S25 5G 6.2吋(12G/256G),66折,27900,18490,29,2026-09-20 18:03:02
