icode,brand,name,discount,old_price,price,qty,scraped_at
14472840,葛瑪蘭之星,雙人一泊二食/四人含早餐,54折,11000,5980,82,2026-09-26 23:00:02
10494588,品木宣言,升級靈芝水400ml,7折,2259,1600,199,2026-09-26 23:00:02
13560155,飛利浦,雙溫萃取全自動義式咖啡機EP3347,74折,30900,22900,50,2026-09-26 23:00:02
15535333,石頭科技,Qrevo 2 Pro掃拖機器人,42折,39999,16999,47,2026-09-26 23:00:02
14860125,FL 生活+,超好夾1秒換布洗臉巾環保拖把,45折,1098,499,451,2026-09-26 23:00:02
14047897,惜惜,康普茶氣泡飲420mlx2箱(共48入),49折,1824,899,340,2026-09-26 23:00:02
14170859,BH,G33 Pro Any Go 扶手健步慢跑機(扶手款/健走機/慢走機/超慢跑/走步機/走路機),39折,29800,11899,24,2026-09-26 23:00:02
13720400,PUMA,男女運動休閒鞋 (多款選),41折,2380,999,289,2026-09-26 23:00:02
12914393,Chic Chic 琪琪,飆低160/件★升級零感提拉無痕內衣,4折,1580,638,383,2026-09-26 23:00:02
6407170,班尼斯,單人頂級天然乳膠床墊5cm,51折,5000,2599,119,2026-09-26 23:00:02
14559449,FL 生活+,5開門收納箱三層款,44折,5960,2680,109,2026-09-26 23:00:02
15177349,OBgE,遮瑕粉底棒13g,43折,1388,599,450,2026-09-26 23:00:02
13211783,獅王,固齒佳Pro酵素牙膏10入,35折,2131,749,394,2026-09-26 23:00:02
12863743,JVC,65型4K智慧TV,49折,29999,14988,24,2026-09-26 23:00:02
7679325,船井生醫,極纖錠獨家增量版4盒+夜孅2袋,27折,16120,4499,69,2026-09-26 23:00:02
15253180,URUHIMEMOMOKO 潤姬桃子,潤姬桃子30入x3盒,96折,2880,2784,198,2026-09-26 23:00:02
15551918,Apple,Apple Watch SE2 GPS 40mm,73折,7900,5799,46,2026-09-26 23:00:02
15641325,Apple,特規機 MacBook Air 13.6吋 M5晶片 24G/512G SSD 10核心CPU/10核心GPU (2026),97折,49900,48900,15,2026-09-26 23:00:02
