icode,brand,name,discount,old_price,price,qty,scraped_at
12137812,ARIEL,4D抗菌洗衣球120顆,69折,1079,749,265,2026-09-08 12:30:05
13724393,巴黎卡詩,黑鑽髮油買75送75,41折,7400,3060,190,2026-09-08 12:30:05
12957780,巴黎卡詩,洗髮精買500享740,61折,3500,2150,193,2026-09-08 12:30:05
11145334,STARBUCKS 星巴克,咖啡膠囊10顆x5盒組(口味任選),95折,1200,1150,230,2026-09-08 12:30:05
15248937,雅詩蘭黛,小棕瓶100送100ml,25折,15800,4011,192,2026-09-08 12:30:05
15016129,MEICHECK 美萃,曲羨飲任選四盒（10入/盒）,93折,3200,2999,4,2026-09-08 12:30:05
15609162,麥當勞,Oreo冰炫風2杯,5折,118,59,9,2026-09-08 12:30:05
8054614,LG,PuriCare 360°寵物清淨機二代-單層,65折,25800,16900,50,2026-09-08 12:30:05
8771176,美威鮭魚,精選鮭魚菲力系列任選2件組+100mo,69折,2578,1788,116,2026-09-08 12:30:05
15035109,Samsung 三星,Galaxy Tab A11+ 11吋 6G/128G Wifi X230 平板電腦,79折,9990,7990,148,2026-09-08 12:30:05
12984109,ARIEL,抗菌除臭洗衣補充8包,76折,1099,839,406,2026-09-08 12:30:05
8666029,Sofy蘇菲,彈力貼身衛生棉,39折,1158,459,1,2026-09-08 12:30:05
14856095,Sunny Hills 微熱山丘,鳳梨酥禮盒2盒,81折,1220,999,189,2026-09-08 12:30:05
12854850,YOMIX優迷,3入組★磁吸編織收納30W快充線1M,25折,1785,459,282,2026-09-08 12:30:05
7628356,Scoot&RideKick1 Cool飛滑步車/學步車,Scoot&RideKick1 Cool飛滑步車/學步車,58折,4980,2899,196,2026-09-08 12:30:05
14906346,CIAO 啾嚕肉泥綜合桶14g*50入*2組,CIAO 啾嚕肉泥綜合桶14g*50入*2組,58折,1498,869,312,2026-09-08 12:30:05
8133411,大研生醫,德國頂級魚油3入組,36折,6750,2450,108,2026-09-08 12:30:05
11247189,妮維雅,亮白嫩膚乳液3入,5折,1497,759,378,2026-09-08 12:30:05
15521731,Luzz,加農砲二代雙認證匹克球拍,72折,4980,3590,168,2026-09-08 12:30:05
15460534,台東鹿鳴溫泉酒店,2-4人一泊多食,16折,23080,3888,113,2026-09-08 12:30:05
11580751,迎鶴金品黃金9999小金豆許願瓶：3顆入組(金重共:3克),迎鶴金品黃金9999小金豆許願瓶：3顆入組(金重共:3克),95折,16888,16188,34,2026-09-08 12:30:05
13884347,「狼人生存遊戲」系列1-15集,「狼人生存遊戲」系列1-15集,55折,5250,2910,1,2026-09-08 12:30:05
14951759,理膚寶水,MELA B3淡斑精華,36折,10566,3865,187,2026-09-08 12:30:05
9056758,艾瑪絲,草本植萃洗髮精1Lx2入,83折,2400,1999,191,2026-09-08 12:30:05
13640189,Calbee,任選薯條三兄弟2入組(原味/玉米),61折,978,599,363,2026-09-08 12:30:05
15175989,營養師輕食,台灣01益生菌 5入組(一入30包),65折,10000,6595,97,2026-09-08 12:30:05
13816764,ZOJIRUSHI 象印,不銹鋼真空吊環保溫保冷杯800ML(SU-DA80),46折,2300,1079,183,2026-09-08 12:30:05
14478745,大同,10人份不鏽鋼電鍋-奶茶色,7折,3890,2740,83,2026-09-08 12:30:05
10960211,HP,ST580三合一wifi連供機組★相片列印黑墨防水,76折,7817,5990,29,2026-09-08 12:30:05
12664797,山水,黑曜魂數位真空管音響,37折,39900,14800,12,2026-09-08 12:30:05
3252331,五月花,新柔韌抽取110抽x72包,54折,1470,799,130,2026-09-08 12:30:05
13698187,植村秀,無極限持久輕粉底35ml,5折,3480,1742,170,2026-09-08 12:30:05
10165053,KLIM 克寧,100%純生乳奶粉2.2kg x2罐,7折,1780,1250,250,2026-09-08 12:30:05
15101901,Philips 飛利浦,HX5191護齦音波牙刷,51折,5590,2880,139,2026-09-08 12:30:05
15415122,m2 美度,超能薑黃暢飲凍 5盒組(10入/盒),29折,4950,1480,53,2026-09-08 12:30:05
14848566,24HRS,4件組★經典款療癒色無痕內衣,55折,2720,1520,494,2026-09-08 12:30:05
14402787,石頭科技,Qrevo C Pro掃拖機器人-超值組,34折,39999,13999,44,2026-09-08 12:30:05
9995210,法國Staub,琺瑯鑄鐵飯鍋16cm,48折,8180,3999,79,2026-09-08 12:30:05
15101343,Tefal 特福,法製精悍炒鍋28cm,61折,5900,3599,85,2026-09-08 12:30:05
13075514,巴黎卡詩,黑鑽髮膜買200送210,41折,6500,2700,389,2026-09-08 12:30:05
