icode,brand,name,discount,old_price,price,qty,scraped_at
10635418,葡萄王,認證樟芝王菌絲體膠囊X8瓶 共480粒(陳志強推薦 GABA 芝麻素 幫助入睡 牛樟芝),89折,5900,5299,154,2026-08-30 21:55:02
15506025,華碩,Ultra 5輕薄16G/OLED,85折,40999,34999,46,2026-08-30 21:55:02
13075137,台灣三洋,240L一級變頻冰箱,86折,12900,11111,15,2026-08-30 21:55:02
15143441,科沃斯,獨家 T90 PRO滾筒洗地機器人,35折,54988,19688,46,2026-08-30 21:55:02
14109124,mo select,加厚型嬰兒柔濕巾附蓋80抽*24入(台灣製、保濕升級),47折,1750,839,64,2026-08-30 21:55:02
11071919,百靈油,100ML*2+滾珠空瓶*1共200ML,91折,3619,3311,274,2026-08-30 21:55:02
14934776,理膚寶水,飛天小女警B5抗老禮盒,42折,6609,2802,178,2026-08-30 21:55:02
12836521,日立,7-9坪一級變頻冷暖空調,74折,46190,34590,4,2026-08-30 21:55:02
13094241,Herman Miller,人體工學椅,61折,39999,24599,5,2026-08-30 21:55:02
8589895,CIELO宣若,EX染髮霜3件組,7折,1140,799,394,2026-08-30 21:55:02
11139341,東元,6-7坪一級變頻冷暖空調,73折,33900,24900,8,2026-08-30 21:55:02
14856095,Sunny Hills 微熱山丘,鳳梨酥禮盒2盒,81折,1220,999,193,2026-08-30 21:55:02
11140597,LOLAT 羅力,恆溫淋浴龍頭組附大流量蓮蓬頭含管+掛座溫控衛浴水龍頭組,33折,15000,4999,6,2026-08-30 21:55:02
6532205,五月花,厚棒四層抽取90抽x60包,71折,1674,1199,150,2026-08-30 21:55:02
15513221,FILA,爆款男女運動鞋 慢跑鞋 休閒鞋 (多款任選),33折,2680,899,254,2026-08-30 21:55:02
9177940,班樂尼,義大利製不沾平煎鍋28cm,36折,3290,1199,242,2026-08-30 21:55:02
12878110,EDWIN,伸縮直筒牛仔褲(男女/多款),37折,3690,1399,177,2026-08-30 21:55:02
9794510,淨毒五郎,碗盤清潔劑三入,43折,2700,1169,186,2026-08-30 21:55:02
5657347,樂米穀場,台東一等關山好米9kg,89折,699,629,527,2026-08-30 21:55:02
14447749,LA NEW,輕量透氣慢跑鞋/運動鞋(男女多款),22折,5380,1188,318,2026-08-30 21:55:02
14032958,湛盧咖啡,淺焙行家綜合濾掛咖啡2盒任選（11gx30包／盒）,73折,1680,1230,221,2026-08-30 21:55:02
14504452,OASIS,製冰塊瞬冰溫熱淨飲機,5折,19800,9999,27,2026-08-30 21:55:02
7679325,船井生醫,極纖錠獨家增量版4盒(共448顆)+夜孅2袋(共40顆),27折,16120,4499,59,2026-08-30 21:55:02
15370198,Apple,A+級福利品 iPhone 16 Pro 256G 6.3吋,97折,31693,30888,3,2026-08-30 21:55:02
12504165,Segway,電動滑板車E2 Pro,68折,22800,15588,11,2026-08-30 21:55:02
10362698,花王,柔舒蒸氣眼罩 72入,55折,2340,1299,130,2026-08-30 21:55:02
