icode,brand,name,discount,old_price,price,qty,scraped_at
11616015,植村秀,山茶花潔顏油450ml,34折,9227,3202,192,2026-08-25 12:30:02
12928225,Chic Chic 琪琪,獨降180/件★零著感內衣4件(多款選),42折,1680,719,300,2026-08-25 12:30:02
15178614,STARBUCKS 星巴克,COFFEE CRAFT咖啡濃縮液4瓶(口味任選),7折,988,699,390,2026-08-25 12:30:02
14267987,TCL,65型QD MiniLED,71折,34990,24900,16,2026-08-25 12:30:02
11028885,東元,4-5坪一級變頻冷暖,66折,26900,17900,12,2026-08-25 12:30:02
13856715,TAKAMI,官方直營 角質道小藍瓶 100ml(momo獨家 霸容量),53折,6000,3211,266,2026-08-25 12:30:02
15401637,契爾氏,金盞花化妝水500ml,39折,6002,2385,118,2026-08-25 12:30:02
15603812,幫寶適,一級幫拉拉褲M-150片買1送1,5折,2598,1299,452,2026-08-25 12:30:02
10343393,元大珠寶,黃金一錢金塊金條 投資保值利器(四選一),94折,21088,19888,60,2026-08-25 12:30:02
15624103,dyson,HD08溫控負離子吹風機(普魯士藍色),9折,9900,8990,143,2026-08-25 12:30:02
15211198,克蘭詩,黃金雙萃精華75ml,53折,5800,3099,145,2026-08-25 12:30:02
14921074,華碩,15.6吋Core 7輕薄16G,86折,28900,24999,43,2026-08-25 12:30:02
14548521,〈MOMO獨家〉山雨小學1-5限量套組,〈MOMO獨家〉山雨小學1-5限量套組,55折,1910,1058,85,2026-08-25 12:30:02
15490065,青鳥旅行,16入經典禮盒(附提袋),78折,760,599,485,2026-08-25 12:30:02
14284910,大研生醫,EPA 1200 頂級魚油軟膠囊x4入(90粒/盒),38折,10080,3899,97,2026-08-25 12:30:02
4932213,QUAKER 桂格,養氣人蔘120入,72折,7320,5310,55,2026-08-25 12:30:02
14484311,ASUS 華碩,Vivowatch 6 Aero 智慧手錶/手環,92折,6790,6290,49,2026-08-25 12:30:02
15287899,王品集團,鍋物中菜$888抵用券,88折,1000,888,479,2026-08-25 12:30:02
12963341,TECO東元,綠光顯塵無線吸塵器,52折,4990,2599,98,2026-08-25 12:30:02
8174397,禾聯,無線遙控SPA潔便座,69折,9990,6990,29,2026-08-25 12:30:02
8762773,命運好好玩,李玉珮-五行補運淨衣凝露6入組,4折,3360,1366,133,2026-08-25 12:30:02
13181394,白蘭,買2送1★4X洗衣球162顆,44折,1557,699,351,2026-08-25 12:30:02
4863910,海鴻飯店,萬巒豬腳2組,72折,1380,999,274,2026-08-25 12:30:02
15604438,JOLLY,TK300電動音樂扭扭車,5折,4980,2499,119,2026-08-25 12:30:02
10016094,金喜飛來,黃金項鍊跳舞鍊O鍊素鍊(0.33錢±0.03),93折,8188,7688,25,2026-08-25 12:30:02
14974268,Apple,iPhone 17 Pro(256G/6.3吋),93折,40400,37900,0,2026-08-25 12:30:02
14137341,Arowana 亞諾納,獨家★30吋城市輕旅杯架款｜上開/對開 兩用防爆可加大行李箱 (假日照常配送),31折,5999,1888,290,2026-08-25 12:30:02
8065220,Casa 卡薩,嚴選綜合濾掛式咖啡9gX100入,52折,1380,719,387,2026-08-25 12:30:02
15562915,適樂膚,潔顏慕絲148ml雙入組,63折,988,630,385,2026-08-25 12:30:02
13279294,汪喵星球,米粒型豆腐砂4KG*4入,45折,2070,949,483,2026-08-25 12:30:02
13159317,獅王,固齒佳酵素牙膏10入,35折,2131,749,408,2026-08-25 12:30:02
8229299,康乃馨,Hi-Water水濕巾48包,58折,2064,1199,259,2026-08-25 12:30:02
13349515,Philips,酷螢移動感應櫥壁燈47cm2入,67折,2980,1999,48,2026-08-25 12:30:02
15256433,STAUB,鑄鐵雙鍋組 圓鍋+平煎鍋16cm,31折,14880,4699,63,2026-08-25 12:30:02
14504452,OASIS,製冰塊瞬冰溫熱淨飲機,5折,19800,9999,30,2026-08-25 12:30:02
15131617,adidas 愛迪達,DURAMO 系列跑鞋 運動鞋 慢跑鞋 男鞋/女鞋 多款任選 (KH7331/KH5314/KH5315),43折,2490,1090,286,2026-08-25 12:30:02
11756917,ON 歐恩,肌酸 600克(原味),59折,1999,1199,286,2026-08-25 12:30:02
