icode,brand,name,discount,old_price,price,qty,scraped_at
14982663,OLAY,小白瓶精華30ml 3入,48折,4137,1999,298,2026-08-26 00:03:01
14233534,法國皇家,狗餐包85g*24包,66折,1416,939,227,2026-08-26 00:03:01
13528252,Sofy蘇菲,超熟睡/超日安褲型衛生棉箱購,36折,1999,725,1,2026-08-26 00:03:01
14834825,Uneed 健康綠活,Fizz氣泡水500mlx2箱/共48入,37折,1536,569,527,2026-08-26 00:03:01
12984065,Whirlpool 惠而浦,15L高效除濕機 WDEE15TW,52折,12400,6511,45,2026-08-26 00:03:01
13027255,iHDoc,全能鎂(60粒/盒；3盒),4折,2970,1190,260,2026-08-26 00:03:01
13560155,飛利浦,LatteGo 雙溫萃取全自動義式咖啡機,74折,30900,22900,49,2026-08-26 00:03:01
14069121,American Explorer 美國探險家,20吋 前開式 避震輪 防爆/防盜拉鍊 上掀式 行李箱 CF8 登機箱 旅行箱,38折,4180,1598,328,2026-08-26 00:03:01
8649334,德邁國際工學椅,德邁國際工學椅,59折,4200,2499,76,2026-08-26 00:03:01
14482070,Lenovo,Idea Tab Plus,8折,12990,10490,50,2026-08-26 00:03:01
8143213,LG,寵物版循環空氣清淨機一代-單層,48折,26800,12900,50,2026-08-26 00:03:01
14885905,MUJI 無印良品,男天竺圓領短袖T恤-多色任選,84折,250,211,1,2026-08-26 00:03:01
10019468,朵舒,棉仔紙超厚柔150抽x84包,46折,1800,829,497,2026-08-26 00:03:01
14976030,營養師輕食,甘露糖蔓越莓EX 5入組(一盒15條),96折,2495,2400,199,2026-08-26 00:03:01
14411766,安耐曬,金鑽防曬露NA 5X版x2,47折,1900,909,246,2026-08-26 00:03:01
15425248,蘭蔻,超極限小黑瓶PRO50ml,39折,9858,3885,299,2026-08-26 00:03:01
15056655,FILA,韓韶禧代言款 男女慢跑鞋 運動鞋 (多款選),34折,2880,999,154,2026-08-26 00:03:01
14861241,三星,65型4K智慧顯示器,71折,27900,19900,30,2026-08-26 00:03:01
13244428,象印,買1送1超輕量彈蓋保溫杯600ml,35折,3600,1288,149,2026-08-26 00:03:01
15034475,Lenovo,小資首選★14吋i5輕薄16G,88折,24900,21999,20,2026-08-26 00:03:01
13262275,BLACKMORES 澳佳寶,金盞花葉黃素+蝦紅素+B6 6入組(180顆 黑嘉嘉代言★半年份囤貨組),45折,6594,2999,150,2026-08-26 00:03:01
15506513,巴黎萊雅,水光豐盈洗/護髮任選3入,75折,1257,949,300,2026-08-26 00:03:01
8442864,德國雙人,Joy不鏽鋼單柄鍋16cm含玻璃蓋,51折,1950,999,298,2026-08-26 00:03:01
12840431,太星電工,蓋安全七開六插滑蓋電腦線/3P 6尺(OCJ76306),4折,989,399,120,2026-08-26 00:03:01
12104294,紅龍,牛肉捲/雞肉捲/豬肉捲16入,48折,1600,768,397,2026-08-26 00:03:01
13215599,德麗莎,特級初榨橄欖油750ml*3入(可生飲/出廠酸價0.5),5折,2145,1088,299,2026-08-26 00:03:01
9901912,京美,涼感2+2件組-竹炭遠紅外線銀纖維涼感女內衣2件+涼感內褲2件組,21折,11940,2580,249,2026-08-26 00:03:01
14920754,髮的食譜,洗護髮3入組★全新上市,58折,1287,749,598,2026-08-26 00:03:01
15122334,台南趣淘漫旅,4人豪華景觀房贈門票,18折,14300,2599,194,2026-08-26 00:03:01
