icode,brand,name,discount,old_price,price,qty,scraped_at
14267981,TCL,75型QLED智慧連網TV,61折,43990,26900,25,2026-09-17 22:03:02
8372350,挺立,關鍵迷你錠4+1盒組,6折,4995,2998,500,2026-09-17 22:03:02
15230014,石頭科技,F25 RT GEN 2小白鯊零纏繞洗地機,41折,16800,6999,50,2026-09-17 22:03:02
7390178,台鹽,海洋鹼性離子水850mlx60入,62折,1905,1197,597,2026-09-17 22:03:02
13684749,國際牌,RO高長效瞬熱飲水機,75折,13900,10490,28,2026-09-17 22:03:02
12991771,dyson,BP02強效極靜抗敏空氣清淨機,51折,32900,16900,71,2026-09-17 22:03:02
15440242,飛利浦,43型4K Google TV,52折,16990,8888,44,2026-09-17 22:03:02
14923512,ONEHOUSE丹邁附輪超大容量折疊購物車,ONEHOUSE丹邁附輪超大容量折疊購物車,41折,1499,618,417,2026-09-17 22:03:02
15604133,ROVE LAB,S8 沙發床,44折,49995,21999,10,2026-09-17 22:03:02
8169627,統一生機,有機紅棗枸杞4包,55折,1080,599,285,2026-09-17 22:03:02
14889548,HEADS UP,EDENVALE 無酒精紅酒/白酒750mlx3瓶,39折,2397,949,231,2026-09-17 22:03:02
15239498,好來,藍光科技牙刷+雙管牙膏美白組,71折,868,618,500,2026-09-17 22:03:02
13242701,曼秀雷敦,AD舒敏沐浴500mlx3入,69折,1797,1249,237,2026-09-17 22:03:02
12935568,愛馬仕,男性淡香水100ml,37折,4840,1799,200,2026-09-17 22:03:02
11550623,ALLEZ 奧莉薇閣,29吋 掀旅箱 前開式 大容量可擴充行李箱(AVT21129),36折,8300,2988,50,2026-09-17 22:03:02
14996773,PP 石墨烯,石墨烯能量護膝2雙(3D立體包覆 穩定支撐),46折,7980,3699,248,2026-09-17 22:03:02
12928225,Chic Chic 琪琪,獨降180/件★零著感內衣4件(多款選),42折,1680,719,358,2026-09-17 22:03:02
12852366,亞培,安素優能基-香草少甜口味 800g x 2入,79折,2095,1660,294,2026-09-17 22:03:02
15175989,營養師輕食,台灣01益生菌 5入組(一入30包),65折,10000,6595,500,2026-09-17 22:03:02
10567704,無塵氏,酒精擦抗菌濕巾85抽x24包/箱,32折,2376,769,248,2026-09-17 22:03:02
4204214,妙管家,抗菌洗衣精4000gX8瓶,5折,1598,799,363,2026-09-17 22:03:02
15635927,YOMIX 優迷,70W自帶線多合一快充萬國轉接頭,7折,1680,1190,150,2026-09-17 22:03:02
15608617,華碩,15.6吋Core 5效能筆電,83折,23999,19999,50,2026-09-17 22:03:02
