icode,brand,name,discount,old_price,price,qty,scraped_at
11373328,國際牌,255公升一級變頻冰箱,77折,21900,16888,17,2026-08-31 13:55:01
14634175,Google,10 Pro XL 256G,74折,39990,29990,13,2026-08-31 13:55:01
10889088,台酒生技,酒粕精粹青春露5入,33折,3000,1018,268,2026-08-31 13:55:01
12514661,美吾髮,植優復黑露400mlx2入,58折,2398,1398,190,2026-08-31 13:55:01
14273318,SKR,P1小旋風電動輔助自行車(旗艦款),75折,19800,14999,19,2026-08-31 13:55:01
11405847,康馳,UV全自動製冰機,49折,3990,1990,42,2026-08-31 13:55:01
12982769,亞培,任選-葡勝納菁選糖尿病營養品-原味+纖維/香草口味 200ml x24入 x2箱(低GI、糖尿病適用 戴資穎代言)($74/罐),81折,5290,4320,193,2026-08-31 13:55:01
15579406,鎮金店,網路限定 三麗鷗聯名黃金金章；多款任選,94折,3800,3588,100,2026-08-31 13:55:01
12608285,大同,10人份不鏽鋼電鍋光耀藍,7折,3890,2740,62,2026-08-31 13:55:01
12963341,TECO東元,綠光顯塵無線吸塵器XJ2501CB,52折,4990,2599,91,2026-08-31 13:55:01
4933348,壽滿趣,冷壓初榨黃金酪梨油250mlx6(可生飲/低溫冷壓),61折,3240,1999,148,2026-08-31 13:55:01
8986416,UCC,職人系列濾掛式咖啡6盒(共72入;8gx12入/盒;3種風味各2盒),4折,1710,699,371,2026-08-31 13:55:01
15471634,《小行星幼兒誌》20期+點讀筆3.0,《小行星幼兒誌》20期+點讀筆3.0,46折,12299,5767,291,2026-08-31 13:55:01
13657145,大研生醫,1000億益生菌粉包(30包)x4入,45折,7196,3299,140,2026-08-31 13:55:01
15039735,陶板屋,和風洋食套餐,94折,768,729,436,2026-08-31 13:55:01
14337602,義美生醫,顧記池高濃度魚油90粒x3盒,83折,3600,2988,108,2026-08-31 13:55:01
15511804,ONEHOUSE韓匠微波專用鍋4件,ONEHOUSE韓匠微波專用鍋4件,44折,3990,1780,5,2026-08-31 13:55:01
15491767,LMG,複合金不鏽鋼炒鍋32cm含蓋,66折,1199,799,39,2026-08-31 13:55:01
14009210,BRITA,愛奴娜濾水壺組(共1壺13芯),38折,5910,2299,98,2026-08-31 13:55:01
13292653,SENNHEISER 森海塞爾,Momentum True Wireless 4 旗艦款真無線第四代,45折,10990,4990,37,2026-08-31 13:55:01
14590062,三星,55型QLED智慧顯示器,66折,23900,15900,11,2026-08-31 13:55:01
11045444,滿意寶寶,寶可夢晚安褲L-XXXL,87折,1257,1099,444,2026-08-31 13:55:01
15248937,雅詩蘭黛,小棕瓶100送100ml,25折,15800,4011,190,2026-08-31 13:55:01
10960211,HP,ST580三合一wifi連供機組★相片列印黑墨防水,76折,7817,5990,29,2026-08-31 13:55:01
10831186,pidan,混合貓砂4桶裝,46折,2600,1199,473,2026-08-31 13:55:01
9735786,Persil,濃縮洗衣精2瓶+1組,6折,1207,729,477,2026-08-31 13:55:01
9563897,鮮綠生活,嚴選特大生凍白蝦后3盒,32折,3030,999,235,2026-08-31 13:55:01
13720397,PUMA,男女運動休閒鞋 (多款選),43折,2280,999,272,2026-08-31 13:55:01
