icode,brand,name,discount,old_price,price,qty,scraped_at
14921074,華碩,15.6吋Core 7輕薄16G,86折,28900,24999,69,2026-09-01 23:00:01
14169450,華碩,16吋i5HX版滿血RTX5060,92折,51999,47999,94,2026-09-01 23:00:01
11563032,華碩平台,RTX 5060電競機(i5-14400F/16G/1TB),86折,41990,36490,17,2026-09-01 23:00:01
10227181,鍋寶,316不鏽鋼深炒鍋30cm-含蓋,34折,3480,1199,201,2026-09-01 23:00:01
8037995,倍潔雅,花漾柔感150抽x84包,5折,1680,849,71,2026-09-01 23:00:01
15586764,Branden,momo搶先開賣★安心Daily防盜後背包,89折,2799,2519,196,2026-09-01 23:00:01
14292095,Samsonite 新秀麗,28吋 FLATFORM 前開式/上掀式一鍵煞車可擴充大容量PC輕量行李箱(多色可選),6折,14800,8880,45,2026-09-01 23:00:01
11999886,資生堂國際櫃,百優乳霜125送126ml★加贈200mo,42折,12448,5260,350,2026-09-01 23:00:01
15631779,大阪自由行五日,樂桃+飯店近地鐵,63折,21999,13999,35,2026-09-01 23:00:01
8462055,NIKE,全白AIR FORCE 1'07經典休閒鞋,69折,3600,2499,193,2026-09-01 23:00:01
14032453,Panasonic 國際牌,12公升雙變頻智能除濕機★獨家奶茶色,6折,19900,11999,16,2026-09-01 23:00:01
12977526,ASUS 華碩,WiFi 7 雙頻 7200Mbps AiMesh 雙10G埠 電競 路由器/分享器(RT-BE88U),88折,9999,8888,17,2026-09-01 23:00:01
5494406,克潮靈,集水袋除濕盒補充包36入(款式任選),63折,948,599,247,2026-09-01 23:00:01
13427532,Apple,AirPods 4,84折,4980,4190,44,2026-09-01 23:00:01
13151510,AHC,超能玻尿酸肌亮保濕機能水,44折,2250,999,274,2026-09-01 23:00:01
14041431,美吾髮,髮本對策強健芯生養髮液2入,5折,2198,1099,211,2026-09-01 23:00:01
15632001,Style,Chair PMC健康護脊電腦椅,68折,24900,16999,10,2026-09-01 23:00:01
12967110,老協珍,熬雞精60入+Kitty摺疊旅行袋,67折,9600,6480,38,2026-09-01 23:00:01
7681245,LOHAS,天絲零負擔記憶床墊加厚10公分-單人,54折,3500,1911,141,2026-09-01 23:00:01
14046571,台隆手創館,瑟夫貝爾 極速涼感風扇背心-新款 冷風背心 涼感衣 空調服 (父親節禮物),91折,1080,990,111,2026-09-01 23:00:01
15297386,火星猴子,曲奇系列2盒組(附贈提袋),68折,1300,888,288,2026-09-01 23:00:01
15535333,石頭科技,Qrevo 2 Pro掃拖機器人,42折,39999,16999,39,2026-09-01 23:00:01
14991091,CIAO,囤貨組-啾嚕肉泥24包,62折,1398,869,98,2026-09-01 23:00:01
13806294,飛利浦,全自動義式咖啡機EP1221,52折,16900,8911,84,2026-09-01 23:00:01
9917329,LG,13KG蒸洗脫滾筒,64折,30900,19900,35,2026-09-01 23:00:01
11148627,QIDINA,6入-MIT親膚吸濕排汗舒適透氣除臭男內褲-1UF(男生內褲 四角褲 居家褲 男性內褲 內衣褲),37折,2000,749,505,2026-09-01 23:00:01
9305945,NARS,裸光蜜粉餅★贈100mo+好禮3選1,7折,2350,1650,243,2026-09-01 23:00:01
10536422,QUAKER 桂格,無糖養氣人蔘 72入,73折,4320,3185,68,2026-09-01 23:00:01
15457201,THE VEGAN 樂維根,經典植物優蛋白 2入組 1KG/袋,6折,2160,1299,475,2026-09-01 23:00:01
